         994581 function calls (986103 primitive calls) in 1.105 seconds

   Ordered by: cumulative time
   List reduced from 1189 to 35 due to restriction <35>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    1.105    1.105 <frozen runpy>:206(run_module)
        1    0.000    0.000    1.105    1.105 <frozen runpy>:65(_run_code)
     76/1    0.003    0.000    1.105    1.105 {built-in method builtins.exec}
        1    0.000    0.000    1.105    1.105 rebuild/tools/verdict_ready.py:1(<module>)
        1    0.000    0.000    1.091    1.091 rebuild/tools/verdict_ready.py:42(main)
        1    0.001    0.001    1.065    1.065 rebuild/review/status.py:391(compute_status)
        1    0.001    0.001    0.871    0.871 rebuild/review/status.py:370(_blanks_check)
        1    0.086    0.086    0.869    0.869 rebuild/review/status.py:103(load_human_unit_ids)
       36    0.000    0.000    0.754    0.021 /opt/homebrew/Cellar/python@3.14/3.14.6/Frameworks/Python.framework/Versions/3.14/lib/python3.14/json/__init__.py:304(loads)
       36    0.000    0.000    0.751    0.021 /opt/homebrew/Cellar/python@3.14/3.14.6/Frameworks/Python.framework/Versions/3.14/lib/python3.14/json/decoder.py:340(decode)
       36    0.751    0.021    0.751    0.021 /opt/homebrew/Cellar/python@3.14/3.14.6/Frameworks/Python.framework/Versions/3.14/lib/python3.14/json/decoder.py:351(raw_decode)
        1    0.000    0.000    0.160    0.160 rebuild/review/status.py:154(_freshness_check)
        1    0.000    0.000    0.160    0.160 rebuild/pipeline/fingerprint.py:226(compute_all)
       21    0.000    0.000    0.160    0.008 {built-in method builtins.sorted}
        1    0.000    0.000    0.157    0.157 rebuild/pipeline/fingerprint.py:208(stage_a)
        1    0.000    0.000    0.153    0.153 rebuild/pipeline/fingerprint.py:163(data_value)
        1    0.000    0.000    0.153    0.153 rebuild/pipeline/fingerprint.py:151(data_lines)
       27    0.000    0.000    0.153    0.006 rebuild/pipeline/fingerprint.py:155(<genexpr>)
       18    0.000    0.000    0.150    0.008 rebuild/pipeline/fingerprint.py:141(rune_file_digest)
       18    0.000    0.000    0.149    0.008 .venv/lib/python3.14/site-packages/yaml/__init__.py:117(safe_load)
       18    0.000    0.000    0.149    0.008 .venv/lib/python3.14/site-packages/yaml/__init__.py:74(load)
       18    0.000    0.000    0.148    0.008 .venv/lib/python3.14/site-packages/yaml/constructor.py:47(get_single_data)
       18    0.000    0.000    0.140    0.008 .venv/lib/python3.14/site-packages/yaml/composer.py:29(get_single_node)
       18    0.000    0.000    0.140    0.008 .venv/lib/python3.14/site-packages/yaml/composer.py:50(compose_document)
  4594/18    0.005    0.000    0.140    0.008 .venv/lib/python3.14/site-packages/yaml/composer.py:63(compose_node)
   887/18    0.002    0.000    0.139    0.008 .venv/lib/python3.14/site-packages/yaml/composer.py:117(compose_mapping_node)
    15431    0.004    0.000    0.126    0.000 .venv/lib/python3.14/site-packages/yaml/parser.py:94(check_event)
    35950    0.011    0.000    0.097    0.000 .venv/lib/python3.14/site-packages/yaml/scanner.py:113(check_token)
  387/311    0.001    0.000    0.092    0.000 .venv/lib/python3.14/site-packages/yaml/composer.py:99(compose_sequence_node)
     6871    0.007    0.000    0.067    0.000 .venv/lib/python3.14/site-packages/yaml/scanner.py:156(fetch_more_tokens)
       30    0.000    0.000    0.049    0.002 /opt/homebrew/Cellar/python@3.14/3.14.6/Frameworks/Python.framework/Versions/3.14/lib/python3.14/pathlib/__init__.py:780(read_text)
       30    0.026    0.001    0.047    0.002 {method 'read' of '_io.TextIOWrapper' objects}
     1596    0.001    0.000    0.043    0.000 .venv/lib/python3.14/site-packages/yaml/parser.py:446(parse_block_mapping_value)
     90/9    0.000    0.000    0.039    0.004 <frozen importlib._bootstrap>:1360(_find_and_load)
     90/9    0.000    0.000    0.039    0.004 <frozen importlib._bootstrap>:1308(_find_and_load_unlocked)


