import time: self [us] | cumulative | imported package
import time:       133 |        133 |   _io
import time:        24 |         24 |   marshal
import time:       141 |        141 |   posix
import time:       397 |        693 | _frozen_importlib_external
import time:       296 |        296 |   time
import time:       148 |        444 | zipimport
import time:        31 |         31 |     _codecs
import time:       381 |        412 |   codecs
import time:       284 |        284 |   encodings.aliases
import time:       418 |       1113 | encodings
import time:       120 |        120 | encodings.utf_8
import time:        47 |         47 | _signal
import time:        20 |         20 |       _abc
import time:       101 |        121 |     abc
import time:        29 |         29 |       _stat
import time:        56 |         84 |     stat
import time:       543 |        543 |     _collections_abc
import time:        30 |         30 |       errno
import time:        52 |         52 |       genericpath
import time:        90 |        170 |     posixpath
import time:       322 |       1238 |   os
import time:        50 |         50 |   _sitebuiltins
import time:       135 |        135 |   encodings.utf_8_sig
import time:        64 |         64 |         itertools
import time:        74 |         74 |         keyword
import time:        38 |         38 |           _operator
import time:       168 |        205 |         operator
import time:       105 |        105 |         reprlib
import time:        32 |         32 |         _collections
import time:       457 |        934 |       collections
import time:        17 |         17 |           _types
import time:       137 |        154 |         types
import time:        28 |         28 |         _functools
import time:       378 |        560 |       functools
import time:       643 |       2136 |     contextlib
import time:       285 |       2421 |   _virtualenv
import time:       729 |        729 |       enum
import time:        39 |         39 |         _sre
import time:       154 |        154 |           re._constants
import time:       213 |        366 |         re._parser
import time:        64 |         64 |         re._casefix
import time:       206 |        673 |       re._compiler
import time:        90 |         90 |       copyreg
import time:       306 |       1797 |     re
import time:       429 |       2225 |   sitecustomize
import time:       588 |       6654 | site
import time:       183 |        183 | linecache
