import time: self [us] | cumulative | imported package
import time:        79 |         79 |   _io
import time:        14 |         14 |   marshal
import time:        94 |         94 |   posix
import time:       235 |        420 | _frozen_importlib_external
import time:       239 |        239 |   time
import time:        93 |        332 | zipimport
import time:        21 |         21 |     _codecs
import time:       239 |        259 |   codecs
import time:       192 |        192 |   encodings.aliases
import time:       284 |        734 | encodings
import time:        80 |         80 | encodings.utf_8
import time:        30 |         30 | _signal
import time:        13 |         13 |       _abc
import time:        64 |         76 |     abc
import time:        19 |         19 |       _stat
import time:        35 |         53 |     stat
import time:       354 |        354 |     _collections_abc
import time:        24 |         24 |       errno
import time:        34 |         34 |       genericpath
import time:        57 |        114 |     posixpath
import time:       210 |        806 |   os
import time:        33 |         33 |   _sitebuiltins
import time:        87 |         87 |   encodings.utf_8_sig
import time:        40 |         40 |         itertools
import time:        51 |         51 |         keyword
import time:        26 |         26 |           _operator
import time:       104 |        129 |         operator
import time:        72 |         72 |         reprlib
import time:        20 |         20 |         _collections
import time:       295 |        605 |       collections
import time:        11 |         11 |           _types
import time:        89 |        100 |         types
import time:        18 |         18 |         _functools
import time:       222 |        339 |       functools
import time:       405 |       1348 |     contextlib
import time:       178 |       1525 |   _virtualenv
import time:       502 |        502 |       enum
import time:        23 |         23 |         _sre
import time:       105 |        105 |           re._constants
import time:       136 |        240 |         re._parser
import time:        47 |         47 |         re._casefix
import time:       141 |        450 |       re._compiler
import time:        63 |         63 |       copyreg
import time:       198 |       1211 |     re
import time:       286 |       1497 |   sitecustomize
import time:       357 |       4303 | site
import time:       121 |        121 | linecache
import time:        46 |         46 |     rebuild
import time:        96 |        141 |   rebuild.pipeline
import time:        66 |         66 |   __future__
import time:       111 |        111 |     gettext
import time:       493 |        604 |   argparse
import time:       224 |        224 |         _json
import time:       134 |        358 |       json.scanner
import time:       171 |        529 |     json.decoder
import time:       150 |        150 |     json.encoder
import time:        84 |        762 |   json
import time:        10 |         10 |         _contextvars
import time:        82 |         82 |         _weakrefset
import time:       241 |        332 |       threading
import time:       206 |        206 |         signal
import time:       137 |        343 |       multiprocessing.process
import time:        84 |         84 |         io
import time:       229 |        229 |             _struct
import time:        63 |        291 |           struct
import time:       100 |        100 |           _compat_pickle
import time:       261 |        261 |           _pickle
import time:       273 |        924 |         pickle
import time:       348 |        348 |           _socket
import time:       415 |        762 |         socket
import time:       269 |        269 |         array
import time:       218 |       2256 |       multiprocessing.reduction
import time:       197 |       3126 |     multiprocessing.context
import time:        88 |       3214 |   multiprocessing
import time:        59 |         59 |     concurrent
import time:       269 |        269 |           textwrap
import time:       139 |        139 |             _py_warnings
import time:        74 |        213 |           warnings
import time:        70 |         70 |           codeop
import time:        71 |         71 |             token
import time:        12 |         12 |             _tokenize
import time:       330 |        412 |           tokenize
import time:       171 |        171 |                 weakref
import time:        83 |        253 |               copy
import time:       525 |        525 |                     _ast
import time:       162 |        686 |                   ast
import time:       268 |        954 |                 annotationlib
import time:        13 |         13 |                     _opcode
import time:        82 |         82 |                     _opcode_metadata
import time:       125 |        219 |                   opcode
import time:       412 |        630 |                 dis
import time:        71 |         71 |                   importlib
import time:        31 |        101 |                 importlib.machinery
import time:       861 |       2545 |               inspect
import time:       264 |       3062 |             dataclasses
import time:      2014 |       5076 |           _colorize
import time:       267 |       6303 |         traceback
import time:        13 |         13 |           _string
import time:       113 |        125 |         string
import time:        14 |         14 |         atexit
import time:       821 |       7262 |       logging
import time:       210 |       7472 |     concurrent.futures._base
import time:       286 |        286 |     _interpreters
import time:        84 |       7899 |   concurrent.futures
import time:       217 |        217 |         _heapq
import time:        81 |        297 |       heapq
import time:       251 |        251 |       _queue
import time:       129 |        676 |     queue
import time:        23 |         23 |             _locale
import time:       308 |        330 |           locale
import time:       299 |        299 |           fcntl
import time:        30 |         30 |           msvcrt
import time:       289 |        289 |           _posixsubprocess
import time:       292 |        292 |           select
import time:       364 |        364 |             math
import time:       200 |        564 |           selectors
import time:       239 |       2038 |         subprocess
import time:       106 |       2143 |       multiprocessing.util
import time:       300 |        300 |       _multiprocessing
import time:        29 |         29 |       _winapi
import time:       293 |       2763 |     multiprocessing.connection
import time:       112 |        112 |     multiprocessing.queues
import time:       176 |       3726 |   concurrent.futures.process
import time:        29 |         29 |       _winapi
import time:        26 |         26 |       nt
import time:        24 |         24 |       nt
import time:        24 |         24 |       nt
import time:        23 |         23 |       nt
import time:        23 |         23 |       nt
import time:        23 |         23 |       nt
import time:        23 |         23 |       nt
import time:        91 |        284 |     ntpath
import time:        93 |         93 |       fnmatch
import time:       154 |        247 |     glob
import time:        16 |         16 |     pwd
import time:       309 |        309 |     grp
import time:        27 |         27 |       _winapi
import time:       147 |        174 |     pathlib._os
import time:       265 |       1291 |   pathlib
import time:        12 |         12 |     _typing
import time:      1685 |       1697 |   typing
import time:       103 |        103 |     yaml.error
import time:       130 |        130 |     yaml.tokens
import time:       125 |        125 |     yaml.events
import time:        67 |         67 |     yaml.nodes
import time:      1543 |       1543 |       yaml.reader
import time:       154 |        154 |       yaml.scanner
import time:       100 |        100 |       yaml.parser
import time:        70 |         70 |       yaml.composer
import time:        16 |         16 |           _datetime
import time:        54 |         70 |         datetime
import time:       347 |        347 |           binascii
import time:       187 |        533 |         base64
import time:       321 |        922 |       yaml.constructor
import time:       524 |        524 |       yaml.resolver
import time:       141 |       3451 |     yaml.loader
import time:       141 |        141 |       yaml.emitter
import time:        61 |         61 |       yaml.serializer
import time:       113 |        113 |       yaml.representer
import time:        99 |        413 |     yaml.dumper
import time:       428 |        428 |       yaml._yaml
import time:       134 |        562 |     yaml.cyaml
import time:       143 |       4992 |   yaml
import time:       380 |        380 |       zlib
import time:        61 |         61 |         compression
import time:        70 |        130 |       compression._common
import time:        96 |         96 |       compression._common._streams
import time:       158 |        762 |     gzip
import time:      1446 |       1446 |       _hashlib
import time:       391 |        391 |       _blake2
import time:       102 |       1938 |     hashlib
import time:        87 |         87 |     rebuild.pipeline.fingerprint
import time:        45 |         45 |       rebuild.validation
import time:       530 |        575 |     rebuild.validation.rowmodel
import time:       133 |       3493 |   rebuild.pipeline.baseline_subset
import time:       317 |        317 |     rebuild.pipeline.pack_gsub
import time:      6373 |       6373 |     rebuild.pipeline.model
import time:       138 |       6827 |   rebuild.pipeline.compile_font
