import time: self [us] | cumulative | imported package
import time:        79 |         79 |   _io
import time:        15 |         15 |   marshal
import time:        91 |         91 |   posix
import time:       241 |        424 | _frozen_importlib_external
import time:       251 |        251 |   time
import time:        93 |        344 | zipimport
import time:        20 |         20 |     _codecs
import time:       237 |        257 |   codecs
import time:       185 |        185 |   encodings.aliases
import time:       269 |        710 | encodings
import time:        77 |         77 | encodings.utf_8
import time:        31 |         31 | _signal
import time:        13 |         13 |       _abc
import time:        64 |         77 |     abc
import time:        18 |         18 |       _stat
import time:        35 |         53 |     stat
import time:       350 |        350 |     _collections_abc
import time:        20 |         20 |       errno
import time:        33 |         33 |       genericpath
import time:        56 |        108 |     posixpath
import time:       204 |        790 |   os
import time:        33 |         33 |   _sitebuiltins
import time:        90 |         90 |   encodings.utf_8_sig
import time:        39 |         39 |         itertools
import time:        50 |         50 |         keyword
import time:        25 |         25 |           _operator
import time:       106 |        131 |         operator
import time:        70 |         70 |         reprlib
import time:        20 |         20 |         _collections
import time:       298 |        605 |       collections
import time:        11 |         11 |           _types
import time:        85 |         96 |         types
import time:        18 |         18 |         _functools
import time:       223 |        335 |       functools
import time:       410 |       1350 |     contextlib
import time:       175 |       1524 |   _virtualenv
import time:       500 |        500 |       enum
import time:        23 |         23 |         _sre
import time:       108 |        108 |           re._constants
import time:       136 |        244 |         re._parser
import time:        44 |         44 |         re._casefix
import time:       140 |        451 |       re._compiler
import time:        65 |         65 |       copyreg
import time:       195 |       1209 |     re
import time:       280 |       1488 |   sitecustomize
import time:       353 |       4276 | site
import time:       120 |        120 | linecache
import time:        45 |         45 |     rebuild
import time:        94 |        139 |   rebuild.review
import time:        69 |         69 |   __future__
import time:       112 |        112 |     gettext
import time:       512 |        624 |   argparse
import time:        15 |         15 |     _datetime
import time:        58 |         73 |   datetime
import time:      1290 |       1290 |     _hashlib
import time:       218 |        218 |     _blake2
import time:       100 |       1607 |   hashlib
import time:       206 |        206 |         _json
import time:       136 |        342 |       json.scanner
import time:       174 |        515 |     json.decoder
import time:       162 |        162 |     json.encoder
import time:        82 |        758 |   json
import time:        10 |         10 |         _contextvars
import time:        85 |         85 |         _weakrefset
import time:       235 |        329 |       threading
import time:       312 |        312 |         signal
import time:       145 |        457 |       multiprocessing.process
import time:        88 |         88 |         io
import time:       237 |        237 |             _struct
import time:        56 |        293 |           struct
import time:       100 |        100 |           _compat_pickle
import time:       303 |        303 |           _pickle
import time:       263 |        957 |         pickle
import time:       379 |        379 |           _socket
import time:       411 |        790 |         socket
import time:       284 |        284 |         array
import time:       133 |       2250 |       multiprocessing.reduction
import time:       204 |       3239 |     multiprocessing.context
import time:        93 |       3331 |   multiprocessing
import time:       193 |        193 |     fnmatch
import time:       289 |        289 |     zlib
import time:        54 |         54 |         compression
import time:        72 |        126 |       compression._common
import time:        94 |         94 |       compression._common._streams
import time:       254 |        254 |       _bz2
import time:       108 |        580 |     bz2
import time:       431 |        431 |       _lzma
import time:        91 |        521 |     lzma
import time:       435 |        435 |       _zstd
import time:       101 |        101 |       compression.zstd._zstdfile
import time:       292 |        827 |     compression.zstd
import time:       274 |       2682 |   shutil
import time:        23 |         23 |       _locale
import time:       264 |        287 |     locale
import time:       141 |        141 |       _py_warnings
import time:        77 |        218 |     warnings
import time:       339 |        339 |     fcntl
import time:        30 |         30 |     msvcrt
import time:       343 |        343 |     _posixsubprocess
import time:       363 |        363 |     select
import time:       427 |        427 |       math
import time:       213 |        639 |     selectors
import time:       339 |       2556 |   subprocess
import time:       313 |        313 |     textwrap
import time:        77 |         77 |     codeop
import time:        75 |         75 |       token
import time:        11 |         11 |       _tokenize
import time:       303 |        388 |     tokenize
import time:       164 |        164 |           weakref
import time:        85 |        248 |         copy
import time:       546 |        546 |               _ast
import time:       250 |        796 |             ast
import time:       224 |       1020 |           annotationlib
import time:        13 |         13 |               _opcode
import time:        79 |         79 |               _opcode_metadata
import time:       134 |        225 |             opcode
import time:       442 |        666 |           dis
import time:        77 |         77 |             importlib
import time:        29 |        106 |           importlib.machinery
import time:       755 |       2546 |         inspect
import time:       255 |       3047 |       dataclasses
import time:      2030 |       5077 |     _colorize
import time:       266 |       6119 |   traceback
import time:        36 |         36 |       _winapi
import time:        31 |         31 |       nt
import time:        28 |         28 |       nt
import time:        25 |         25 |       nt
import time:        24 |         24 |       nt
import time:        24 |         24 |       nt
import time:        24 |         24 |       nt
import time:        23 |         23 |       nt
import time:       103 |        313 |     ntpath
import time:       289 |        289 |     glob
import time:        18 |         18 |     pwd
import time:       389 |        389 |     grp
import time:        29 |         29 |       _winapi
import time:       154 |        182 |     pathlib._os
import time:       294 |       1483 |   pathlib
import time:        57 |         57 |   rebuild.pipeline
import time:       118 |        118 |       yaml.error
import time:       125 |        125 |       yaml.tokens
import time:       116 |        116 |       yaml.events
import time:        68 |         68 |       yaml.nodes
import time:      1567 |       1567 |         yaml.reader
import time:       150 |        150 |         yaml.scanner
import time:       102 |        102 |         yaml.parser
import time:        72 |         72 |         yaml.composer
import time:       409 |        409 |             binascii
import time:       111 |        520 |           base64
import time:      1206 |       1726 |         yaml.constructor
import time:       532 |        532 |         yaml.resolver
import time:       133 |       4278 |       yaml.loader
import time:       153 |        153 |         yaml.emitter
import time:        72 |         72 |         yaml.serializer
import time:       123 |        123 |         yaml.representer
import time:       106 |        452 |       yaml.dumper
import time:       499 |        499 |         yaml._yaml
import time:       136 |        634 |       yaml.cyaml
import time:       144 |       5933 |     yaml
import time:       128 |       6060 |   rebuild.pipeline.fingerprint
import time:        13 |         13 |       _typing
import time:       977 |        990 |     typing
import time:       117 |       1106 |   rebuild.review.families
import time:      1559 |       1559 |   rebuild.review.tablediff
import time:       165 |        165 |     gzip
import time:      6211 |       6211 |           rebuild.pipeline.model
import time:       159 |       6369 |         rebuild.pipeline.specificity
import time:      1697 |       8065 |       rebuild.pipeline.settle
import time:       135 |       8200 |     rebuild.pipeline.trace_memo
import time:      1145 |       1145 |     rebuild.review.audit
import time:       447 |        447 |           html.entities
import time:       149 |        595 |         html
import time:       184 |        184 |         _markupbase
import time:       698 |       1476 |       html.parser
import time:       206 |        206 |         rebuild.pipeline.geometry
import time:        46 |         46 |           rebuild.validation
import time:       360 |        405 |         rebuild.validation.rowmodel
import time:      1929 |       2540 |       rebuild.pipeline.conform
import time:       573 |        573 |       rebuild.pipeline.spec_load
import time:       501 |        501 |         rebuild.pipeline.explain
import time:        13 |         13 |               _string
import time:       118 |        130 |             string
import time:        15 |         15 |             atexit
import time:       617 |        761 |           logging
import time:        86 |         86 |                   fontTools.misc
import time:        15 |         15 |                     gc
import time:        84 |         98 |                   timeit
import time:       156 |        340 |                 fontTools.misc.loggingTools
import time:        83 |        423 |               fontTools
import time:        49 |        472 |             fontTools.pens
import time:       404 |        404 |               fontTools.misc.transform
import time:       167 |        570 |             fontTools.pens.basePen
import time:        47 |         47 |               fontTools.misc.enumTools
import time:       244 |        290 |             fontTools.pens.pointPen
