import time: self [us] | cumulative | imported package
import time:        77 |         77 |   _io
import time:        14 |         14 |   marshal
import time:        89 |         89 |   posix
import time:       238 |        417 | _frozen_importlib_external
import time:       227 |        227 |   time
import time:        93 |        319 | zipimport
import time:        20 |         20 |     _codecs
import time:       234 |        254 |   codecs
import time:       189 |        189 |   encodings.aliases
import time:       260 |        702 | encodings
import time:        78 |         78 | encodings.utf_8
import time:        30 |         30 | _signal
import time:        13 |         13 |       _abc
import time:        65 |         77 |     abc
import time:        18 |         18 |       _stat
import time:        35 |         53 |     stat
import time:       353 |        353 |     _collections_abc
import time:        20 |         20 |       errno
import time:        34 |         34 |       genericpath
import time:        58 |        111 |     posixpath
import time:       206 |        798 |   os
import time:        33 |         33 |   _sitebuiltins
import time:        87 |         87 |   encodings.utf_8_sig
import time:        40 |         40 |         itertools
import time:        48 |         48 |         keyword
import time:        25 |         25 |           _operator
import time:       103 |        127 |         operator
import time:        70 |         70 |         reprlib
import time:        20 |         20 |         _collections
import time:       294 |        597 |       collections
import time:        11 |         11 |           _types
import time:        86 |         96 |         types
import time:        18 |         18 |         _functools
import time:       223 |        336 |       functools
import time:       404 |       1336 |     contextlib
import time:       177 |       1513 |   _virtualenv
import time:       499 |        499 |       enum
import time:        23 |         23 |         _sre
import time:       103 |        103 |           re._constants
import time:       136 |        239 |         re._parser
import time:        43 |         43 |         re._casefix
import time:       135 |        439 |       re._compiler
import time:        66 |         66 |       copyreg
import time:       195 |       1198 |     re
import time:       274 |       1472 |   sitecustomize
import time:       355 |       4255 | site
import time:       119 |        119 | linecache
import time:        46 |         46 |     rebuild
import time:        95 |        140 |   rebuild.review
import time:        65 |         65 |   __future__
import time:       111 |        111 |     gettext
import time:       486 |        597 |   argparse
import time:       212 |        212 |         _json
import time:       134 |        345 |       json.scanner
import time:       168 |        512 |     json.decoder
import time:       146 |        146 |     json.encoder
import time:        80 |        738 |   json
import time:        11 |         11 |         _contextvars
import time:       140 |        150 |       _py_warnings
import time:        71 |        220 |     warnings
import time:        83 |         83 |     io
import time:        91 |         91 |       fnmatch
import time:       215 |        215 |       zlib
import time:        51 |         51 |           compression
import time:        67 |        118 |         compression._common
import time:        94 |         94 |         compression._common._streams
import time:       192 |        192 |         _bz2
import time:        98 |        500 |       bz2
import time:       436 |        436 |         _lzma
import time:        89 |        525 |       lzma
import time:       400 |        400 |         _zstd
import time:       100 |        100 |         compression.zstd._zstdfile
import time:       268 |        766 |       compression.zstd
import time:       276 |       2371 |     shutil
import time:       323 |        323 |       math
import time:       236 |        236 |         _bisect
import time:        56 |        291 |       bisect
import time:       252 |        252 |       _random
import time:       175 |       1040 |     random
import time:        77 |         77 |       _weakrefset
import time:       155 |        231 |     weakref
import time:       172 |       4115 |   tempfile
import time:        30 |         30 |       _winapi
import time:        26 |         26 |       nt
import time:        24 |         24 |       nt
import time:        24 |         24 |       nt
import time:        23 |         23 |       nt
import time:        23 |         23 |       nt
import time:        23 |         23 |       nt
import time:        23 |         23 |       nt
import time:        93 |        284 |     ntpath
import time:       160 |        160 |     glob
import time:        15 |         15 |     pwd
import time:       269 |        269 |     grp
import time:       280 |        280 |       fcntl
import time:        27 |         27 |       _winapi
import time:       252 |        558 |     pathlib._os
import time:       268 |       1552 |   pathlib
import time:        73 |         73 |       copy
import time:       620 |        620 |             _ast
import time:       167 |        786 |           ast
import time:       246 |       1032 |         annotationlib
import time:        14 |         14 |             _opcode
import time:        81 |         81 |             _opcode_metadata
import time:       125 |        219 |           opcode
import time:       343 |        561 |         dis
import time:        72 |         72 |           importlib
import time:        29 |        100 |         importlib.machinery
import time:        73 |         73 |           token
import time:        13 |         13 |           _tokenize
import time:       333 |        418 |         tokenize
import time:       684 |       2793 |       inspect
import time:       236 |       3101 |     dataclasses
import time:       220 |        220 |       yaml.error
import time:       140 |        140 |       yaml.tokens
import time:       113 |        113 |       yaml.events
