import time: self [us] | cumulative | imported package
import time:        76 |         76 |   _io
import time:        14 |         14 |   marshal
import time:        89 |         89 |   posix
import time:       237 |        414 | _frozen_importlib_external
import time:       237 |        237 |   time
import time:        92 |        328 | zipimport
import time:        21 |         21 |     _codecs
import time:       239 |        259 |   codecs
import time:       197 |        197 |   encodings.aliases
import time:       255 |        710 | encodings
import time:        78 |         78 | encodings.utf_8
import time:        30 |         30 | _signal
import time:        13 |         13 |       _abc
import time:        64 |         77 |     abc
import time:        19 |         19 |       _stat
import time:        34 |         53 |     stat
import time:       352 |        352 |     _collections_abc
import time:        23 |         23 |       errno
import time:        35 |         35 |       genericpath
import time:        55 |        112 |     posixpath
import time:       209 |        800 |   os
import time:        33 |         33 |   _sitebuiltins
import time:        89 |         89 |   encodings.utf_8_sig
import time:        39 |         39 |         itertools
import time:        47 |         47 |         keyword
import time:        25 |         25 |           _operator
import time:       107 |        132 |         operator
import time:        70 |         70 |         reprlib
import time:        20 |         20 |         _collections
import time:       297 |        604 |       collections
import time:        12 |         12 |           _types
import time:        95 |        106 |         types
import time:        17 |         17 |         _functools
import time:       226 |        348 |       functools
import time:       410 |       1361 |     contextlib
import time:       174 |       1535 |   _virtualenv
import time:       509 |        509 |       enum
import time:        23 |         23 |         _sre
import time:       105 |        105 |           re._constants
import time:       138 |        242 |         re._parser
import time:        46 |         46 |         re._casefix
import time:       138 |        446 |       re._compiler
import time:        62 |         62 |       copyreg
import time:       200 |       1216 |     re
import time:       284 |       1499 |   sitecustomize
import time:       355 |       4309 | site
import time:       123 |        123 | linecache
import time:        46 |         46 |     rebuild
import time:        77 |        123 |   rebuild.tools
import time:       198 |        198 |   __future__
import time:       120 |        120 |     gettext
import time:       378 |        498 |   argparse
import time:      1279 |       1279 |     _hashlib
import time:       215 |        215 |     _blake2
import time:       101 |       1594 |   hashlib
import time:       209 |        209 |         _json
import time:       139 |        348 |       json.scanner
import time:       174 |        521 |     json.decoder
import time:       147 |        147 |     json.encoder
import time:        85 |        752 |   json
import time:        90 |         90 |     fnmatch
import time:       229 |        229 |     zlib
import time:        53 |         53 |         compression
import time:        67 |        120 |       compression._common
import time:        84 |         84 |         io
import time:       188 |        272 |       compression._common._streams
import time:       245 |        245 |       _bz2
import time:        98 |        733 |     bz2
import time:       365 |        365 |       _lzma
import time:       100 |        465 |     lzma
import time:       424 |        424 |       _zstd
import time:       109 |        109 |       compression.zstd._zstdfile
import time:       267 |        799 |     compression.zstd
import time:       260 |       2573 |   shutil
import time:       421 |        421 |     _socket
import time:       424 |        845 |   socket
import time:        22 |         22 |       _locale
import time:       257 |        279 |     locale
import time:       202 |        202 |     signal
import time:        12 |         12 |       _contextvars
import time:        79 |         79 |       _weakrefset
import time:       360 |        450 |     threading
import time:       140 |        140 |       _py_warnings
import time:        72 |        211 |     warnings
import time:       283 |        283 |     fcntl
import time:        31 |         31 |     msvcrt
import time:       336 |        336 |     _posixsubprocess
import time:       330 |        330 |     select
import time:       401 |        401 |       math
import time:       206 |        606 |     selectors
import time:       266 |       2990 |   subprocess
import time:        57 |         57 |     concurrent
import time:       303 |        303 |           textwrap
import time:       163 |        163 |           codeop
import time:        73 |         73 |             token
import time:        11 |         11 |             _tokenize
import time:       301 |        384 |           tokenize
import time:       158 |        158 |                 weakref
import time:        83 |        241 |               copy
import time:       654 |        654 |                     _ast
import time:       189 |        843 |                   ast
import time:       220 |       1063 |                 annotationlib
import time:        13 |         13 |                     _opcode
import time:        80 |         80 |                     _opcode_metadata
import time:       129 |        221 |                   opcode
import time:       347 |        567 |                 dis
import time:        76 |         76 |                   importlib
import time:        31 |        106 |                 importlib.machinery
import time:       701 |       2435 |               inspect
import time:       244 |       2919 |             dataclasses
import time:      2138 |       5056 |           _colorize
import time:       249 |       6153 |         traceback
import time:        14 |         14 |           _string
import time:       126 |        140 |         string
import time:        16 |         16 |         atexit
import time:       611 |       6918 |       logging
import time:       225 |       7143 |     concurrent.futures._base
import time:       380 |        380 |     _interpreters
import time:        83 |       7662 |   concurrent.futures
import time:       328 |        328 |         _heapq
import time:        74 |        401 |       heapq
import time:       352 |        352 |       _queue
import time:       123 |        875 |     queue
import time:       106 |        981 |   concurrent.futures.thread
import time:        15 |         15 |     _datetime
import time:        58 |         72 |   datetime
import time:        31 |         31 |       _winapi
import time:        26 |         26 |       nt
import time:        24 |         24 |       nt
import time:        24 |         24 |       nt
import time:        26 |         26 |       nt
import time:        26 |         26 |       nt
import time:        26 |         26 |       nt
import time:        26 |         26 |       nt
import time:        95 |        300 |     ntpath
import time:       173 |        173 |     glob
import time:        15 |         15 |     pwd
import time:       372 |        372 |     grp
import time:        28 |         28 |       _winapi
import time:       151 |        179 |     pathlib._os
import time:       370 |       1407 |   pathlib
import time:        12 |         12 |     _typing
import time:       846 |        858 |   typing
import time:      3283 |      23829 | rebuild.tools.artifact_cycle
