import time: self [us] | cumulative | imported package
import time:        79 |         79 |   _io
import time:        14 |         14 |   marshal
import time:        89 |         89 |   posix
import time:       238 |        418 | _frozen_importlib_external
import time:       211 |        211 |   time
import time:       103 |        313 | zipimport
import time:        20 |         20 |     _codecs
import time:       240 |        260 |   codecs
import time:       189 |        189 |   encodings.aliases
import time:       262 |        710 | encodings
import time:        79 |         79 | encodings.utf_8
import time:        31 |         31 | _signal
import time:        13 |         13 |       _abc
import time:        64 |         77 |     abc
import time:        19 |         19 |       _stat
import time:        40 |         59 |     stat
import time:       354 |        354 |     _collections_abc
import time:        20 |         20 |       errno
import time:        34 |         34 |       genericpath
import time:        58 |        111 |     posixpath
import time:       208 |        806 |   os
import time:        33 |         33 |   _sitebuiltins
import time:        86 |         86 |   encodings.utf_8_sig
import time:        39 |         39 |         itertools
import time:        55 |         55 |         keyword
import time:        23 |         23 |           _operator
import time:       103 |        126 |         operator
import time:        71 |         71 |         reprlib
import time:        20 |         20 |         _collections
import time:       293 |        601 |       collections
import time:        12 |         12 |           _types
import time:        89 |        100 |         types
import time:        17 |         17 |         _functools
import time:       223 |        340 |       functools
import time:       407 |       1346 |     contextlib
import time:       177 |       1523 |   _virtualenv
import time:       496 |        496 |       enum
import time:        23 |         23 |         _sre
import time:       103 |        103 |           re._constants
import time:       134 |        237 |         re._parser
import time:        44 |         44 |         re._casefix
import time:       138 |        440 |       re._compiler
import time:        61 |         61 |       copyreg
import time:       193 |       1190 |     re
import time:       280 |       1470 |   sitecustomize
import time:       355 |       4270 | site
import time:       116 |        116 | linecache
import time:        46 |         46 |     rebuild
import time:        75 |        121 |   rebuild.tools
import time:       239 |        239 |     gettext
import time:       366 |        605 |   argparse
import time:       227 |        227 |         _json
import time:       140 |        366 |       json.scanner
import time:       169 |        535 |     json.decoder
import time:       141 |        141 |     json.encoder
import time:        84 |        759 |   json
import time:        84 |         84 |     io
import time:        30 |         30 |       _winapi
import time:        26 |         26 |       nt
import time:        25 |         25 |       nt
import time:        24 |         24 |       nt
import time:        23 |         23 |       nt
import time:        23 |         23 |       nt
import time:        23 |         23 |       nt
import time:        24 |         24 |       nt
import time:        93 |        288 |     ntpath
import time:        96 |         96 |       fnmatch
import time:       146 |        241 |     glob
import time:        15 |         15 |     pwd
import time:       221 |        221 |     grp
import time:       200 |        200 |       fcntl
import time:        27 |         27 |       _winapi
import time:       154 |        379 |     pathlib._os
import time:       270 |       1496 |   pathlib
import time:        44 |         44 |   rebuild.review
import time:        67 |         67 |     __future__
import time:       135 |        135 |     rebuild.pipeline
import time:      1279 |       1279 |         _hashlib
import time:       239 |        239 |         _blake2
import time:       101 |       1617 |       hashlib
import time:       103 |        103 |         yaml.error
import time:       122 |        122 |         yaml.tokens
import time:       108 |        108 |         yaml.events
import time:        68 |         68 |         yaml.nodes
import time:      1557 |       1557 |           yaml.reader
import time:       151 |        151 |           yaml.scanner
import time:        99 |         99 |           yaml.parser
import time:        71 |         71 |           yaml.composer
import time:        15 |         15 |               _datetime
import time:        51 |         65 |             datetime
import time:       276 |        276 |                 _struct
import time:        48 |        323 |               struct
import time:       246 |        246 |               binascii
import time:        95 |        663 |             base64
import time:       314 |       1041 |           yaml.constructor
import time:       604 |        604 |           yaml.resolver
import time:       125 |       3646 |         yaml.loader
import time:       143 |        143 |           yaml.emitter
import time:        73 |         73 |           yaml.serializer
import time:       112 |        112 |           yaml.representer
import time:        95 |        421 |         yaml.dumper
import time:       343 |        343 |           yaml._yaml
import time:       127 |        469 |         yaml.cyaml
import time:       138 |       5072 |       yaml
import time:       111 |       6799 |     rebuild.pipeline.fingerprint
import time:        69 |         69 |       rebuild.review.journal
import time:       126 |        194 |     rebuild.review.serve
import time:       117 |       7310 |   rebuild.review.status
import time:       123 |      10455 | rebuild.tools.verdict_ready
