import time: self [us] | cumulative | imported package
import time:        77 |         77 |   _io
import time:        14 |         14 |   marshal
import time:        89 |         89 |   posix
import time:       239 |        418 | _frozen_importlib_external
import time:       239 |        239 |   time
import time:        91 |        330 | zipimport
import time:        21 |         21 |     _codecs
import time:       240 |        260 |   codecs
import time:       188 |        188 |   encodings.aliases
import time:       271 |        719 | encodings
import time:        82 |         82 | encodings.utf_8
import time:        31 |         31 | _signal
import time:        13 |         13 |       _abc
import time:        64 |         76 |     abc
import time:        19 |         19 |       _stat
import time:        36 |         54 |     stat
import time:       341 |        341 |     _collections_abc
import time:        19 |         19 |       errno
import time:        34 |         34 |       genericpath
import time:        56 |        108 |     posixpath
import time:       204 |        782 |   os
import time:        32 |         32 |   _sitebuiltins
import time:        86 |         86 |   encodings.utf_8_sig
import time:        40 |         40 |         itertools
import time:        52 |         52 |         keyword
import time:        25 |         25 |           _operator
import time:       105 |        129 |         operator
import time:        70 |         70 |         reprlib
import time:        20 |         20 |         _collections
import time:       292 |        601 |       collections
import time:        11 |         11 |           _types
import time:        86 |         97 |         types
import time:        18 |         18 |         _functools
import time:       228 |        342 |       functools
import time:       412 |       1353 |     contextlib
import time:       178 |       1531 |   _virtualenv
import time:       493 |        493 |       enum
import time:        23 |         23 |         _sre
import time:       105 |        105 |           re._constants
import time:       137 |        242 |         re._parser
import time:        45 |         45 |         re._casefix
import time:       135 |        444 |       re._compiler
import time:        66 |         66 |       copyreg
import time:       199 |       1201 |     re
import time:       280 |       1480 |   sitecustomize
import time:       363 |       4271 | site
import time:       121 |        121 | linecache
import time:        82 |         82 |   io
import time:       281 |        281 |       textwrap
import time:        12 |         12 |           _contextvars
import time:       156 |        167 |         _py_warnings
import time:        78 |        244 |       warnings
import time:        64 |         64 |         __future__
import time:        79 |        142 |       codeop
import time:        79 |         79 |         token
import time:        10 |         10 |         _tokenize
import time:       309 |        396 |       tokenize
import time:        79 |         79 |               _weakrefset
import time:       161 |        240 |             weakref
import time:        80 |        319 |           copy
import time:       505 |        505 |                 _ast
import time:       151 |        656 |               ast
import time:       229 |        884 |             annotationlib
import time:        15 |         15 |                 _opcode
import time:        82 |         82 |                 _opcode_metadata
import time:       130 |        227 |               opcode
import time:       397 |        623 |             dis
import time:        77 |         77 |               importlib
import time:        29 |        105 |             importlib.machinery
import time:       803 |       2415 |           inspect
import time:       246 |       2978 |         dataclasses
import time:      1992 |       4970 |       _colorize
import time:       260 |       6292 |     traceback
import time:        13 |         13 |       _string
import time:       125 |        138 |     string
import time:       354 |        354 |     threading
import time:        15 |         15 |     atexit
import time:       750 |       7547 |   logging
import time:       264 |        264 |     _struct
import time:        71 |        334 |   struct
import time:        61 |         61 |     concurrent
import time:       209 |        209 |     concurrent.futures._base
import time:       225 |        225 |     _interpreters
import time:        85 |        578 |   concurrent.futures
import time:       183 |        183 |         _heapq
import time:        82 |        265 |       heapq
import time:       207 |        207 |       _queue
import time:       115 |        586 |     queue
import time:       221 |        221 |           signal
import time:       139 |        359 |         multiprocessing.process
import time:       102 |        102 |             _compat_pickle
import time:       306 |        306 |             _pickle
import time:       367 |        774 |           pickle
import time:       391 |        391 |             _socket
import time:       391 |        781 |           socket
import time:       270 |        270 |           array
import time:       120 |       1943 |         multiprocessing.reduction
import time:       196 |       2497 |       multiprocessing.context
import time:        86 |       2583 |     multiprocessing
import time:        25 |         25 |             _locale
import time:       320 |        344 |           locale
import time:       258 |        258 |           fcntl
import time:        32 |         32 |           msvcrt
import time:       311 |        311 |           _posixsubprocess
import time:       300 |        300 |           select
import time:       367 |        367 |             math
import time:       314 |        681 |           selectors
import time:       245 |       2168 |         subprocess
import time:       118 |       2285 |       multiprocessing.util
import time:       308 |        308 |       _multiprocessing
import time:        33 |         33 |       _winapi
import time:       192 |       2816 |     multiprocessing.connection
import time:       100 |        100 |     multiprocessing.queues
import time:       167 |       6249 |   concurrent.futures.process
