import time: self [us] | cumulative | imported package
import time:        78 |         78 |   _io
import time:        14 |         14 |   marshal
import time:        89 |         89 |   posix
import time:       254 |        434 | _frozen_importlib_external
import time:       213 |        213 |   time
import time:        93 |        305 | zipimport
import time:        20 |         20 |     _codecs
import time:       235 |        254 |   codecs
import time:       182 |        182 |   encodings.aliases
import time:       253 |        688 | encodings
import time:        81 |         81 | encodings.utf_8
import time:        29 |         29 | _signal
import time:        13 |         13 |       _abc
import time:        64 |         77 |     abc
import time:        18 |         18 |       _stat
import time:        35 |         52 |     stat
import time:       345 |        345 |     _collections_abc
import time:        19 |         19 |       errno
import time:        35 |         35 |       genericpath
import time:        56 |        109 |     posixpath
import time:       201 |        783 |   os
import time:        31 |         31 |   _sitebuiltins
import time:        84 |         84 |   encodings.utf_8_sig
import time:        41 |         41 |         itertools
import time:        48 |         48 |         keyword
import time:        25 |         25 |           _operator
import time:       108 |        132 |         operator
import time:        68 |         68 |         reprlib
import time:        20 |         20 |         _collections
import time:       284 |        591 |       collections
import time:        11 |         11 |           _types
import time:        85 |         95 |         types
import time:        18 |         18 |         _functools
import time:       220 |        332 |       functools
import time:       403 |       1325 |     contextlib
import time:       168 |       1492 |   _virtualenv
import time:       493 |        493 |       enum
import time:        24 |         24 |         _sre
import time:       103 |        103 |           re._constants
import time:       134 |        237 |         re._parser
import time:        43 |         43 |         re._casefix
import time:       137 |        439 |       re._compiler
import time:        60 |         60 |       copyreg
import time:       194 |       1185 |     re
import time:       271 |       1456 |   sitecustomize
import time:       341 |       4185 | site
import time:       116 |        116 | linecache
import time:        12 |         12 |       _contextvars
import time:       149 |        161 |     _py_warnings
import time:        77 |        237 |   warnings
import time:        80 |         80 |         _weakrefset
import time:       153 |        233 |       weakref
import time:        79 |        312 |     copy
import time:       613 |        613 |           _ast
import time:       154 |        766 |         ast
import time:       223 |        989 |       annotationlib
import time:        83 |         83 |         io
import time:        13 |         13 |           _opcode
import time:        83 |         83 |           _opcode_metadata
import time:       125 |        221 |         opcode
import time:       339 |        642 |       dis
import time:        76 |         76 |         importlib
import time:        29 |        105 |       importlib.machinery
import time:        75 |         75 |         token
import time:        12 |         12 |         _tokenize
import time:       320 |        406 |       tokenize
import time:       705 |       2844 |     inspect
import time:       332 |       3487 |   dataclasses
import time:        36 |         36 |       _winapi
import time:        29 |         29 |       nt
import time:        27 |         27 |       nt
import time:        27 |         27 |       nt
import time:        26 |         26 |       nt
import time:        30 |         30 |       nt
import time:        26 |         26 |       nt
import time:        26 |         26 |       nt
import time:        93 |        316 |     ntpath
import time:        93 |         93 |       fnmatch
import time:       167 |        260 |     glob
import time:        16 |         16 |     pwd
import time:       233 |        233 |     grp
import time:       205 |        205 |       fcntl
import time:        30 |         30 |       _winapi
import time:       146 |        381 |     pathlib._os
import time:       271 |       1474 |   pathlib
import time:        12 |         12 |       _typing
import time:       941 |        952 |     typing
import time:      2560 |       3512 |   quikscript_ir
import time:      1896 |      10603 | quikscript_fea
