import time: self [us] | cumulative | imported package
import time:        76 |         76 |   _io
import time:        14 |         14 |   marshal
import time:        94 |         94 |   posix
import time:       248 |        430 | _frozen_importlib_external
import time:       241 |        241 |   time
import time:        94 |        334 | zipimport
import time:        22 |         22 |     _codecs
import time:       240 |        261 |   codecs
import time:       187 |        187 |   encodings.aliases
import time:       261 |        708 | encodings
import time:        78 |         78 | encodings.utf_8
import time:        30 |         30 | _signal
import time:        13 |         13 |       _abc
import time:        65 |         78 |     abc
import time:        18 |         18 |       _stat
import time:        36 |         54 |     stat
import time:       342 |        342 |     _collections_abc
import time:        19 |         19 |       errno
import time:        34 |         34 |       genericpath
import time:        57 |        108 |     posixpath
import time:       219 |        799 |   os
import time:        32 |         32 |   _sitebuiltins
import time:        86 |         86 |   encodings.utf_8_sig
import time:        40 |         40 |         itertools
import time:        48 |         48 |         keyword
import time:        24 |         24 |           _operator
import time:       103 |        127 |         operator
import time:        68 |         68 |         reprlib
import time:        20 |         20 |         _collections
import time:       286 |        586 |       collections
import time:        11 |         11 |           _types
import time:        86 |         97 |         types
import time:        18 |         18 |         _functools
import time:       222 |        336 |       functools
import time:       407 |       1327 |     contextlib
import time:       170 |       1497 |   _virtualenv
import time:       497 |        497 |       enum
import time:        24 |         24 |         _sre
import time:       108 |        108 |           re._constants
import time:       141 |        248 |         re._parser
import time:        47 |         47 |         re._casefix
import time:       149 |        467 |       re._compiler
import time:        64 |         64 |       copyreg
import time:       196 |       1223 |     re
import time:       275 |       1498 |   sitecustomize
import time:       353 |       4261 | site
import time:       119 |        119 | linecache
import time:        78 |         78 |       _weakrefset
import time:       151 |        228 |     weakref
import time:        84 |        312 |   copy
import time:       623 |        623 |           _ast
import time:       156 |        779 |         ast
import time:       228 |       1007 |       annotationlib
import time:        84 |         84 |         io
import time:        13 |         13 |           _opcode
import time:        93 |         93 |           _opcode_metadata
import time:       143 |        248 |         opcode
import time:       349 |        680 |       dis
import time:        74 |         74 |         importlib
import time:        29 |        103 |       importlib.machinery
import time:        77 |         77 |         token
import time:        12 |         12 |         _tokenize
import time:       317 |        404 |       tokenize
import time:       730 |       2922 |     inspect
import time:       331 |       3253 |   dataclasses
import time:        11 |         11 |       _contextvars
import time:       144 |        155 |     _py_warnings
import time:        82 |        236 |   warnings
import time:        14 |         14 |     _typing
import time:       837 |        850 |   typing
import time:      2842 |       7492 | quikscript_ir
