         114589989 function calls (109664438 primitive calls) in 19.147 seconds

   Ordered by: cumulative time
   List reduced from 1391 to 70 due to restriction <70>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.017    0.017   19.239   19.239 tools/build_font.py:841(build_font)
        1    0.019    0.019   14.352   14.352 .venv/lib/python3.14/site-packages/fontTools/feaLib/builder.py:70(addOpenTypeFeaturesFromString)
        1    0.000    0.000   14.333   14.333 .venv/lib/python3.14/site-packages/fontTools/feaLib/builder.py:52(addOpenTypeFeatures)
        1    0.000    0.000   14.333   14.333 .venv/lib/python3.14/site-packages/fontTools/feaLib/builder.py:188(build)
        2    0.000    0.000    7.159    3.580 .venv/lib/python3.14/site-packages/fontTools/feaLib/builder.py:899(makeTable)
        2    0.019    0.010    7.158    3.579 .venv/lib/python3.14/site-packages/fontTools/feaLib/builder.py:864(buildLookups_)
      647    0.009    0.000    7.082    0.011 .venv/lib/python3.14/site-packages/fontTools/otlLib/builder.py:401(build)
     1198    0.013    0.000    6.241    0.005 .venv/lib/python3.14/site-packages/fontTools/otlLib/builder.py:390(getCompiledSize_)
    946/1    0.004    0.000    5.000    5.000 .venv/lib/python3.14/site-packages/fontTools/feaLib/ast.py:348(build)
       14    0.000    0.000    5.000    0.357 .venv/lib/python3.14/site-packages/fontTools/feaLib/ast.py:383(build)
      931    0.000    0.000    4.962    0.005 .venv/lib/python3.14/site-packages/fontTools/feaLib/ast.py:435(build)
    18945    0.025    0.000    4.946    0.000 .venv/lib/python3.14/site-packages/fontTools/feaLib/ast.py:1443(build)
    18945    0.004    0.000    4.916    0.000 .venv/lib/python3.14/site-packages/fontTools/feaLib/builder.py:1333(add_single_subst)
    18300    0.024    0.000    4.875    0.000 .venv/lib/python3.14/site-packages/fontTools/feaLib/builder.py:1415(add_single_subst_chained_)
    18300    2.770    0.000    4.830    0.000 .venv/lib/python3.14/site-packages/fontTools/otlLib/builder.py:824(find_chainable_subst)
392691/1201    1.720    0.000    4.580    0.004 .venv/lib/python3.14/site-packages/fontTools/ttLib/tables/otBase.py:1000(compile)
205274/1205    0.081    0.000    4.564    0.004 .venv/lib/python3.14/site-packages/fontTools/ttLib/tables/otConverters.py:186(writeArray)
184574/26335    0.083    0.000    4.560    0.000 .venv/lib/python3.14/site-packages/fontTools/ttLib/tables/otConverters.py:717(write)
        1    0.000    0.000    2.663    2.663 .venv/lib/python3.14/site-packages/fontTools/fontBuilder.py:352(save)
        1    0.000    0.000    2.663    2.663 .venv/lib/python3.14/site-packages/fontTools/ttLib/ttFont.py:342(save)
        1    0.000    0.000    2.661    2.661 .venv/lib/python3.14/site-packages/fontTools/ttLib/ttFont.py:399(_save)
    18/14    0.000    0.000    2.661    0.190 .venv/lib/python3.14/site-packages/fontTools/ttLib/ttFont.py:1231(_writeTable)
       14    0.000    0.000    2.658    0.190 .venv/lib/python3.14/site-packages/fontTools/ttLib/ttFont.py:1263(getTableData)
        1    0.000    0.000    2.158    2.158 .venv/lib/python3.14/site-packages/fontTools/feaLib/parser.py:78(parse)
   945/15    0.040    0.000    2.157    0.144 .venv/lib/python3.14/site-packages/fontTools/feaLib/parser.py:1992(parse_block_)
       14    0.000    0.000    2.157    0.154 .venv/lib/python3.14/site-packages/fontTools/feaLib/parser.py:1772(parse_feature_block_)
      931    0.001    0.000    2.135    0.002 .venv/lib/python3.14/site-packages/fontTools/feaLib/parser.py:611(parse_lookup_)
        3    0.000    0.000    2.113    0.704 .venv/lib/python3.14/site-packages/fontTools/ttLib/tables/otBase.py:93(compile)
2543964/3375    0.676    0.000    2.090    0.001 /opt/homebrew/Cellar/python@3.14/3.14.6/Frameworks/Python.framework/Versions/3.14/lib/python3.14/copy.py:110(deepcopy)
306415/3029    0.179    0.000    2.085    0.001 /opt/homebrew/Cellar/python@3.14/3.14.6/Frameworks/Python.framework/Versions/3.14/lib/python3.14/copy.py:172(_deepcopy_list)
175248/26336    0.202    0.000    1.988    0.000 /opt/homebrew/Cellar/python@3.14/3.14.6/Frameworks/Python.framework/Versions/3.14/lib/python3.14/copy.py:228(_reconstruct)
178884/27970    0.212    0.000    1.901    0.000 /opt/homebrew/Cellar/python@3.14/3.14.6/Frameworks/Python.framework/Versions/3.14/lib/python3.14/copy.py:198(_deepcopy_dict)
    27165    0.096    0.000    1.733    0.000 .venv/lib/python3.14/site-packages/fontTools/feaLib/parser.py:433(parse_glyph_pattern_)
    83780    0.236    0.000    1.612    0.000 .venv/lib/python3.14/site-packages/fontTools/feaLib/parser.py:333(parse_glyphclass_)
 30536764    1.570    0.000    1.570    0.000 .venv/lib/python3.14/site-packages/fontTools/otlLib/builder.py:831(<genexpr>)
208183/207643    0.036    0.000    1.479    0.000 .venv/lib/python3.14/site-packages/fontTools/ttLib/tables/otConverters.py:606(write)
   711486    0.106    0.000    1.294    0.000 .venv/lib/python3.14/site-packages/fontTools/feaLib/parser.py:2290(advance_lexer_)
     7473    0.005    0.000    1.213    0.000 .venv/lib/python3.14/site-packages/fontTools/feaLib/parser.py:554(parse_ignore_)
     7473    0.003    0.000    1.193    0.000 .venv/lib/python3.14/site-packages/fontTools/feaLib/parser.py:545(parse_ignore_context_)
   716641    1.043    0.000    1.189    0.000 {built-in method builtins.next}
  9494384    0.678    0.000    1.184    0.000 {built-in method builtins.hasattr}
   557409    0.112    0.000    1.178    0.000 .venv/lib/python3.14/site-packages/fontTools/feaLib/parser.py:2096(expect_glyph_)
     1199    0.020    0.000    1.173    0.001 .venv/lib/python3.14/site-packages/fontTools/ttLib/tables/otBase.py:670(getAllData)
     7473    0.002    0.000    1.171    0.000 .venv/lib/python3.14/site-packages/fontTools/feaLib/parser.py:526(parse_ignore_glyph_pattern_)
        1    0.001    0.001    1.069    1.069 tools/build_font.py:167(_report_gsub_budget)
    22/21    0.000    0.000    1.048    0.050 .venv/lib/python3.14/site-packages/fontTools/ttLib/ttFont.py:800(__getitem__)
      2/1    0.000    0.000    1.048    1.048 .venv/lib/python3.14/site-packages/fontTools/ttLib/ttFont.py:813(_readTable)
        1    0.000    0.000    1.048    1.048 .venv/lib/python3.14/site-packages/fontTools/ttLib/tables/otBase.py:84(decompile)
 147035/1    0.331    0.000    1.048    1.048 .venv/lib/python3.14/site-packages/fontTools/ttLib/tables/otBase.py:958(decompile)
  65749/3    0.037    0.000    1.048    0.349 .venv/lib/python3.14/site-packages/fontTools/ttLib/tables/otConverters.py:704(read)
  58226/3    0.036    0.000    1.048    0.349 .venv/lib/python3.14/site-packages/fontTools/ttLib/tables/otConverters.py:147(readArray)
