import time: self [us] | cumulative | imported package
import time:       118 |        118 |   _io
import time:        19 |         19 |   marshal
import time:       121 |        121 |   posix
import time:       360 |        616 | _frozen_importlib_external
import time:       638 |        638 |   time
import time:       170 |        808 | zipimport
import time:        46 |         46 |     _codecs
import time:       557 |        603 |   codecs
import time:       493 |        493 |   encodings.aliases
import time:       683 |       1778 | encodings
import time:       198 |        198 | encodings.utf_8
import time:        72 |         72 | _signal
import time:        31 |         31 |       _abc
import time:       164 |        194 |     abc
import time:        43 |         43 |       _stat
import time:        83 |        125 |     stat
import time:       828 |        828 |     _collections_abc
import time:        47 |         47 |       errno
import time:        85 |         85 |       genericpath
import time:       168 |        299 |     posixpath
import time:       511 |       1955 |   os
import time:        84 |         84 |   _sitebuiltins
import time:       239 |        239 |   encodings.utf_8_sig
import time:       105 |        105 |         itertools
import time:       175 |        175 |         keyword
import time:        62 |         62 |           _operator
import time:       307 |        369 |         operator
import time:       258 |        258 |         reprlib
import time:        57 |         57 |         _collections
import time:       916 |       1876 |       collections
import time:        41 |         41 |           _types
import time:       373 |        414 |         types
import time:        96 |         96 |         _functools
import time:       750 |       1258 |       functools
import time:      1102 |       4236 |     contextlib
import time:       602 |       4837 |   _virtualenv
import time:      1207 |       1207 |       enum
import time:        72 |         72 |         _sre
import time:       283 |        283 |           re._constants
import time:       389 |        671 |         re._parser
import time:       136 |        136 |         re._casefix
import time:       481 |       1359 |       re._compiler
import time:      3759 |       3759 |       copyreg
import time:       635 |       6959 |     re
import time:       516 |       7474 |   sitecustomize
import time:      1119 |      15707 | site
import time:       195 |        195 | linecache
import time:       131 |        131 |   io
import time:       367 |        367 |       textwrap
import time:        18 |         18 |           _contextvars
import time:       210 |        227 |         _py_warnings
import time:       107 |        333 |       warnings
import time:        84 |         84 |         __future__
import time:       103 |        186 |       codeop
import time:       103 |        103 |         token
import time:        14 |         14 |         _tokenize
import time:       408 |        524 |       tokenize
import time:        97 |         97 |               _weakrefset
import time:       210 |        307 |             weakref
import time:       102 |        408 |           copy
import time:       631 |        631 |                 _ast
import time:       199 |        830 |               ast
import time:       301 |       1130 |             annotationlib
import time:        20 |         20 |                 _opcode
import time:       106 |        106 |                 _opcode_metadata
import time:       168 |        293 |               opcode
import time:       514 |        807 |             dis
import time:        97 |         97 |               importlib
import time:        40 |        136 |             importlib.machinery
import time:      1005 |       3076 |           inspect
import time:       306 |       3789 |         dataclasses
import time:      2402 |       6191 |       _colorize
import time:       337 |       7936 |     traceback
import time:        17 |         17 |       _string
import time:       158 |        174 |     string
import time:       431 |        431 |     threading
import time:        17 |         17 |     atexit
import time:       981 |       9539 |   logging
import time:       368 |        368 |     _struct
import time:        83 |        450 |   struct
import time:        80 |         80 |     concurrent
import time:       271 |        271 |     concurrent.futures._base
import time:       286 |        286 |     _interpreters
import time:       117 |        752 |   concurrent.futures
