         51179338 function calls (51178047 primitive calls) in 7.412 seconds

   Ordered by: cumulative time
   List reduced from 408 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    7.413    7.413 tools/build_font.py:788(build_senior_fea)
        1    0.001    0.001    7.407    7.407 tools/quikscript_fea.py:6857(emit_quikscript_senior_features)
        1    0.033    0.033    7.376    7.376 tools/quikscript_fea.py:2278(_emit_quikscript_calt)
      767    0.207    0.000    3.787    0.005 tools/quikscript_fea.py:2801(_emit_narrow_mid_entry_strip_guards)
    80917    0.018    0.000    3.693    0.000 tools/quikscript_fea.py:2352(_expand_all_variants)
    81153    1.200    0.000    3.681    0.000 tools/quikscript_fea.py:123(_expand_join_variants)
        4    0.000    0.000    3.400    0.850 tools/quikscript_fea.py:5231(_emit_block)
  5122886    1.110    0.000    2.376    0.000 {method 'update' of 'set' objects}
      288    0.001    0.000    1.927    0.007 tools/quikscript_fea.py:3194(_emit_entry_strip_guards_for_replacement_exit)
   131136    0.803    0.000    1.353    0.000 tools/quikscript_fea.py:1713(_split_fea_context_tokens)
        1    0.008    0.008    1.130    1.130 tools/quikscript_fea.py:2091(_ensure_zwnj_coverage_for_calt_lookups)
   133016    0.090    0.000    1.114    0.000 tools/quikscript_fea.py:1739(_parse_ignore_sub_line)
       35    0.019    0.001    0.986    0.028 tools/quikscript_fea.py:3420(_emit_fwd_pairs)
       47    0.002    0.000    0.947    0.020 tools/quikscript_fea.py:4200(_emit_bk_pairs)
      122    0.005    0.000    0.894    0.007 tools/quikscript_fea.py:4101(_emit_two_glyph_lookbehind_guards)
     7624    0.038    0.000    0.881    0.000 tools/quikscript_fea.py:4133(_collect_two_glyph_lookbehind_guards)
        1    0.001    0.001    0.834    0.834 tools/quikscript_fea.py:5110(_emit_post_context_bk_pairs)
  1305527    0.523    0.000    0.817    0.000 tools/quikscript_fea.py:153(<genexpr>)
     4225    0.007    0.000    0.726    0.000 tools/quikscript_fea.py:2989(_entry_preserving_followers)
       17    0.000    0.000    0.718    0.042 tools/quikscript_fea.py:3957(_emit_fwd)
       33    0.002    0.000    0.681    0.021 tools/quikscript_fea.py:3749(_emit_fwd_general)
        1    0.001    0.001    0.589    0.589 tools/quikscript_fea.py:4338(_emit_bk_cycle)
      607    0.013    0.000    0.550    0.001 tools/quikscript_fea.py:1987(_collect_marked_input_glyphs)
      606    0.021    0.000    0.548    0.001 tools/quikscript_fea.py:2056(_zwnj_boundary_replay_lines_for_calt_lookup)
        1    0.012    0.012    0.536    0.536 tools/quikscript_fea.py:1861(_coalesce_consecutive_ignore_rules)
    20465    0.001    0.000    0.514    0.000 tools/quikscript_fea.py:1865(flush)
     1163    0.006    0.000    0.513    0.000 tools/quikscript_fea.py:1840(_coalesce_ignore_sub_run)
        1    0.001    0.001    0.500    0.500 tools/quikscript_fea.py:4503(_emit_post_upgrade_bk)
        1    0.038    0.038    0.483    0.483 tools/quikscript_fea.py:1934(_strip_post_zwnj_from_ignore_contexts)
    56015    0.040    0.000    0.449    0.000 tools/quikscript_fea.py:1765(_parse_substitution_line)
  7368398    0.344    0.000    0.344    0.000 {method 'startswith' of 'str' objects}
7627236/7627197    0.284    0.000    0.284    0.000 {built-in method builtins.len}
   110531    0.114    0.000    0.270    0.000 tools/quikscript_fea.py:2616(_source_strips_own_exit_before_mid)
  5840449    0.266    0.000    0.266    0.000 {method 'isspace' of 'str' objects}
       24    0.000    0.000    0.212    0.009 tools/quikscript_fea.py:3243(_emit_fpt_revert)
  4642852    0.203    0.000    0.203    0.000 tools/quikscript_fea.py:145(<genexpr>)
     1163    0.002    0.000    0.175    0.000 tools/quikscript_fea.py:1844(flush)
     1163    0.082    0.000    0.173    0.000 tools/quikscript_fea.py:1785(_coalesce_parsed_ignore_rules)
  3521104    0.161    0.000    0.161    0.000 tools/quikscript_fea.py:147(<genexpr>)
        4    0.001    0.000    0.159    0.040 tools/quikscript_fea.py:4857(_emit_noentry_fwd_overrides)
  2252274    0.153    0.000    0.153    0.000 {method 'get' of 'dict' objects}
    33274    0.057    0.000    0.152    0.000 tools/quikscript_fea.py:1894(_strip_post_zwnj_token)
48675/47509    0.080    0.000    0.115    0.000 {built-in method builtins.sorted}
     1299    0.001    0.000    0.112    0.000 tools/quikscript_fea.py:1447(_select_rule_neighbors)
   285407    0.083    0.000    0.108    0.000 tools/quikscript_ir.py:120(all_entry_ys)
   307256    0.078    0.000    0.104    0.000 tools/quikscript_ir.py:116(entry_ys)
     1299    0.015    0.000    0.103    0.000 tools/quikscript_fea.py:1265(observe)
  1872505    0.094    0.000    0.094    0.000 tools/quikscript_fea.py:2313(_meta)
    11313    0.033    0.000    0.092    0.000 tools/quikscript_fea.py:2489(_expand_exclusions)
  1443994    0.092    0.000    0.092    0.000 {method 'values' of 'dict' objects}
  1265657    0.084    0.000    0.084    0.000 {method 'add' of 'set' objects}
    18116    0.012    0.000    0.080    0.000 tools/quikscript_fea.py:1363(_classify)
   195381    0.056    0.000    0.073    0.000 tools/quikscript_ir.py:124(exit_ys)
