         732079915 function calls (720204847 primitive calls) in 342.749 seconds

   Ordered by: cumulative time
   List reduced from 189 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    3.778    3.778  381.743  381.743 rebuild/pipeline/table.py:901(build_tables)
   382579    0.098    0.000  328.619    0.001 rebuild/pipeline/table.py:782(matters)
     5515    0.046    0.000  328.311    0.060 rebuild/pipeline/table.py:485(third_live)
3297759/2453995    6.396    0.000  280.631    0.000 rebuild/pipeline/settle.py:1120(transition_trace)
2399514/2002356   20.394    0.000  266.318    0.000 rebuild/pipeline/settle.py:1178(_transition_trace_uncached)
    99458    0.195    0.000  265.345    0.003 rebuild/pipeline/table.py:537(fourth_live)
   103443    0.103    0.000  255.180    0.002 rebuild/pipeline/table.py:503(<genexpr>)
9329462/4654210   12.328    0.000  207.740    0.000 rebuild/pipeline/settle.py:682(_prospect)
9124680/9096061   54.651    0.000  178.130    0.000 rebuild/pipeline/settle.py:525(candidates)
    99458    0.357    0.000  168.191    0.002 rebuild/pipeline/table.py:556(_prospect_varies_fourth)
    55248    0.389    0.000  167.274    0.003 rebuild/pipeline/table.py:576(_fourth_class_live)
  1269028    0.669    0.000  166.228    0.000 rebuild/pipeline/table.py:587(<genexpr>)
  9701458   10.237    0.000  157.007    0.000 rebuild/pipeline/settle.py:754(_prefer_favors)
  2433565    6.362    0.000  100.087    0.000 rebuild/pipeline/settle.py:834(_apply_prefers)
     1701    0.413    0.000   92.445    0.054 rebuild/pipeline/table.py:703(_seat_varies)
   524629    0.262    0.000   91.879    0.000 rebuild/pipeline/table.py:730(_seat_outcome)
3968871/3113685    1.814    0.000   84.673    0.000 rebuild/pipeline/settle.py:1289(_score)
    46810    1.442    0.000   66.801    0.001 rebuild/pipeline/table.py:637(_vote_class_live)
    98606    0.303    0.000   62.521    0.001 rebuild/pipeline/table.py:615(_vote_varies_fourth)
 57773522   30.734    0.000   48.748    0.000 {method 'get' of 'dict' objects}
9678804/9667869    8.583    0.000   26.792    0.000 rebuild/pipeline/settle.py:652(_acceptor_exists)
  8282548   12.840    0.000   26.598    0.000 rebuild/pipeline/settle.py:642(_virtual_left)
 20960024   22.723    0.000   26.069    0.000 rebuild/pipeline/settle.py:475(_pairing_allowed)
 21228434    7.916    0.000   22.196    0.000 rebuild/pipeline/settle.py:370(when_matches)
  1848475    8.954    0.000   20.502    0.000 rebuild/pipeline/settle.py:1303(_commit)
 10902335    9.564    0.000   17.257    0.000 rebuild/pipeline/settle.py:408(_entry_available)
 10480552   11.893    0.000   15.870    0.000 rebuild/pipeline/settle.py:439(_exit_sources)
 51135566   10.772    0.000   15.849    0.000 <string>:22(__hash__)
15250924/12256685   10.482    0.000   13.537    0.000 rebuild/pipeline/settle.py:323(cond_matches_right)
 15365628    5.623    0.000   11.027    0.000 rebuild/pipeline/settle.py:491(_refusal_hit)
    99837    0.024    0.000   10.352    0.000 rebuild/pipeline/table.py:820(matters)
     5515    0.027    0.000    9.655    0.002 rebuild/pipeline/table.py:511(_prospect_varies_third)
     2798    0.046    0.000    9.578    0.003 rebuild/pipeline/table.py:524(_third_class_live)
67104491/66443257    6.803    0.000    6.904    0.000 {built-in method builtins.hash}
 17215981    4.360    0.000    6.782    0.000 rebuild/pipeline/settle.py:231(_replay_fired)
14075160/12695748    4.883    0.000    6.003    0.000 rebuild/pipeline/settle.py:275(cond_matches_left)
  3974425    3.763    0.000    5.528    0.000 rebuild/pipeline/settle.py:244(_end_capture)
 44661099    5.513    0.000    5.513    0.000 {method 'append' of 'list' objects}
     4729    0.011    0.000    5.326    0.001 rebuild/pipeline/table.py:599(_vote_varies_third)
  3422430    2.974    0.000    5.132    0.000 rebuild/pipeline/settle.py:221(_record_fired)
 13353663    3.390    0.000    4.910    0.000 <string>:25(__hash__)
 48400401    4.693    0.000    4.693    0.000 {built-in method builtins.len}
  3574074    1.751    0.000    4.034    0.000 rebuild/pipeline/settle.py:1048(_pick_adjustment)
 41783555    3.828    0.000    3.828    0.000 rebuild/pipeline/settle.py:66(letter)
  5771954    1.458    0.000    3.411    0.000 rebuild/pipeline/settle.py:422(<genexpr>)
  1351616    0.990    0.000    3.282    0.000 {built-in method builtins.max}
 20432727    3.197    0.000    3.197    0.000 {method 'items' of 'dict' objects}
2061869/2057917    1.822    0.000    3.076    0.000 {built-in method builtins.sorted}
 26058575    2.813    0.000    2.813    0.000 rebuild/pipeline/settle.py:483(<genexpr>)
  4525464    1.860    0.000    2.793    0.000 rebuild/pipeline/settle.py:239(_begin_capture)
 16986990    2.684    0.000    2.684    0.000 {method 'index' of 'list' objects}
 17203533    2.399    0.000    2.399    0.000 <string>:8(__eq__)
  4822457    1.059    0.000    2.292    0.000 rebuild/pipeline/settle.py:1230(<genexpr>)
 10699823    1.728    0.000    2.196    0.000 rebuild/pipeline/settle.py:452(_active_pairing_unlocks)
        1    0.729    0.729    1.924    1.924 rebuild/pipeline/table.py:1223(_flag_prospect_joints)
  1253058    1.147    0.000    1.815    0.000 rebuild/pipeline/settle.py:140(cell_label)
 10604180    1.625    0.000    1.625    0.000 {method 'extend' of 'list' objects}
  1664635    0.574    0.000    1.460    0.000 rebuild/pipeline/settle.py:262(_members)
  7924640    1.364    0.000    1.364    0.000 {method 'update' of 'set' objects}
  3974455    1.168    0.000    1.168    0.000 {built-in method fromkeys}


