         98386191 function calls (98300654 primitive calls) in 49.339 seconds

   Ordered by: cumulative time
   List reduced from 1409 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.612    0.612   49.787   49.787 rebuild/review/build.py:883(build_m1)
    62148    0.169    0.000   14.993    0.000 rebuild/review/build.py:323(patch_cached_fragment)
    62148    0.149    0.000   14.819    0.000 rebuild/review/build.py:297(unit_scaffold)
    62148    5.548    0.000   14.612    0.000 rebuild/review/build.py:189(config_badge)
        1    0.018    0.018   11.490   11.490 rebuild/review/build.py:742(_write_surface)
        1    0.169    0.169    9.533    9.533 rebuild/review/build.py:1806(check_shards)
    62148    4.429    0.000    9.262    0.000 rebuild/review/build.py:1499(check_unit)
 14808875    3.345    0.000    6.632    0.000 rebuild/review/build.py:209(<genexpr>)
    62180    0.046    0.000    5.034    0.000 /opt/homebrew/Cellar/python@3.14/3.14.6/Frameworks/Python.framework/Versions/3.14/lib/python3.14/json/__init__.py:304(loads)
    62180    0.098    0.000    4.979    0.000 /opt/homebrew/Cellar/python@3.14/3.14.6/Frameworks/Python.framework/Versions/3.14/lib/python3.14/json/decoder.py:340(decode)
    62180    4.830    0.000    4.830    0.000 /opt/homebrew/Cellar/python@3.14/3.14.6/Frameworks/Python.framework/Versions/3.14/lib/python3.14/json/decoder.py:351(raw_decode)
        1    0.014    0.014    3.968    3.968 rebuild/review/audit.py:308(load_workload)
  9703425    2.718    0.000    3.700    0.000 rebuild/review/build.py:154(_config_features)
        1    0.098    0.098    3.166    3.166 rebuild/review/unit_cache.py:332(load_store)
   214880    0.097    0.000    2.412    0.000 /opt/homebrew/Cellar/python@3.14/3.14.6/Frameworks/Python.framework/Versions/3.14/lib/python3.14/gzip.py:314(write)
        1    0.655    0.655    2.407    2.407 rebuild/review/audit.py:164(build_units)
        1    0.037    0.037    2.380    2.380 rebuild/review/unit_cache.py:399(load_prior_fragments)
    62198    0.014    0.000    2.374    0.000 /opt/homebrew/Cellar/python@3.14/3.14.6/Frameworks/Python.framework/Versions/3.14/lib/python3.14/json/__init__.py:185(dumps)
    62198    0.053    0.000    2.360    0.000 /opt/homebrew/Cellar/python@3.14/3.14.6/Frameworks/Python.framework/Versions/3.14/lib/python3.14/json/encoder.py:185(encode)
    62198    2.286    0.000    2.286    0.000 /opt/homebrew/Cellar/python@3.14/3.14.6/Frameworks/Python.framework/Versions/3.14/lib/python3.14/json/encoder.py:207(iterencode)
215036/214902    0.071    0.000    2.238    0.000 {method 'write' of '_io.BufferedWriter' objects}
      136    0.000    0.000    2.205    0.016 /opt/homebrew/Cellar/python@3.14/3.14.6/Frameworks/Python.framework/Versions/3.14/lib/python3.14/gzip.py:134(write)
