rune	stance	entry	exit	count
qsNo	flipped	en-y0	ex-y0	444
qsUtter	mono	-	ex-y5	395
qsUtter	mono	-	-	344
qsUtter	mono	en-y0	ex-y5	298
qsMay	loop	-	ex-y5	273
qsNo	loop	-	ex-y5	260
qsNo	flipped	-	ex-y0	257
qsTea	full	-	ex-y0	256
qsNo	flipped	en-y0	-	244
qsDay	half	en-y0	ex-y0	240
qsUtter	mono	en-y0	-	226
qsOy	hapax	-	ex-y0	220
qsNo	loop	-	-	213
qsDay	half	en-y0	-	206
qsDay	full	-	ex-y0	204
qsFee	loop	-	ex-y5	193
qsMay	loop	-	-	193
qsDay	full	-	-	188
qsIt	hapax	-	ex-y0	177
qsOy	hapax	-	-	172
qsNo	loop	en-y5	ex-y5	168
qsMay	loop	en-y0	ex-y5	150
qsUtter	alternate	-	ex-y0	134
qsNo	loop	en-y5	-	132
qsDay	full	en-y5	ex-y0	118
qsMay	loop	en-y0	-	118
qsMay	grounded-loop	en-y5	ex-y0	112
qsOy	hapax	en-y5	ex-y0	110
qsTea_qsOy	hapax	-	ex-y0	110
qsDay	full	en-y5	-	102
qsMay	loop	en-y5	-	92
qsI	loop	-	ex-y5	88
qsAh	hapax	-	ex-y5	86
qsOy	hapax	en-y5	-	86
qsTea_qsOy	hapax	-	-	86
qsTea	half	-	ex-y5	83
qsFee	loop	-	-	80
qsTea	full	en-y0	-	80
qsMay	grounded-loop	-	ex-y0	72
qsDay_qsUtter	half	en-y0	ex-y5	70
qsDay_qsUtter	full	-	ex-y5	70
qsLow	hapax	-	ex-y5	70
qsIt	hapax	en-y0	-	68
qsPea	full	-	ex-y0	64
qsIt	hapax	-	-	63
qsTea	full	-	-	56
qsUtter	alternate	en-y5	ex-y0	54
qsTea	full	en-y5	ex-y0	49
qsAh	hapax	-	-	48
qsDay_qsUtter	half	en-y0	-	48
qsDay_qsUtter	full	-	-	48
qsI	loop	-	-	48
qsLow	hapax	-	-	48
qsPea	full	-	-	48
qsI	loop	en-y0	ex-y5	44
qsI	smaller-loop	en-y0	ex-y5	44
qsAh	hapax	en-y0	ex-y5	43
qsIt	hapax	en-y5	ex-y0	40
qsIt	hapax	en-y0	ex-y5	37
qsDay_qsUtter	full	en-y5	ex-y5	35
qsLow	hapax	en-y0	ex-y5	35
qsPea	full	en-y5	ex-y0	32
qsTea	full	en-y5	-	28
qsAh	hapax	en-y0	-	24
qsDay_qsUtter	full	en-y5	-	24
qsI	loop	en-y0	-	24
qsI	smaller-loop	en-y0	-	24
qsIt	hapax	en-y5	-	24
qsLow	hapax	en-y0	-	24
qsPea	full	en-y5	-	24
qsPea	full	en-y6	-	24
qsPea	full	en-y6	ex-y0	24
qsFee	reversed-loop	en-y5	-	16
qsIt	hapax	-	ex-y5	16
qsPea	half	en-y6	ex-y5	16
qsPea	half	-	ex-y5	16
qsPea	half	-	ex-y6	16
qsIt	hapax	en-y0	ex-y0	12
qsPea	half	en-y5	ex-y5	8
qsPea	half	en-y5	ex-y6	8
qsPea	half	en-y6	ex-y6	8
