config	codepoints	kinds	matched_entry	baseline	new
default	E650:E650	cell	dangling-anchor-dropped	qsPea.half.en-y6.ex-y6|qsPea.en-y6	qsPea/half/None/y6/|qsPea/full/y6/None/
default	E650:E665	cell	dangling-anchor-dropped	qsPea|qsMay.en-y0.ex-y5.en-ext-1	qsPea/full/None/baseline/|qsMay/loop/baseline/None/en-ext-1
default	E650:E670	cell	dangling-anchor-dropped	qsPea.half.ex-y5.ex-dips|qsIt.en-y5.ex-y0	qsPea/half/None/x-height/|qsIt/bar/x-height/None/
default	E652:E665	cell	dangling-anchor-dropped	qsTea.ex-y0|qsMay.en-y0.ex-y5.en-ext-1	qsTea/full/None/baseline/|qsMay/loop/baseline/None/en-ext-1
default	E652:E670	cell	dangling-anchor-dropped	qsTea.half.ex-y5|qsIt.en-y5.ex-y0	qsTea/half/None/x-height/|qsIt/bar/x-height/None/
default	E665:E650	cell	dangling-anchor-dropped	qsMay|qsPea.en-y5.ex-y0	qsMay/loop/None/x-height/|qsPea/full/x-height/None/
default	E665:E652	cell	may-exit-withdrawal-generalized	qsMay|qsTea	qsMay/loop/None/None/ex-bind-pulled-back|qsTea/full/None/None/
default	E665:E665	cell	dangling-anchor-dropped	qsMay.ex-y0|qsMay.en-y0.ex-y5	qsMay/grounded-loop/None/baseline/|qsMay/loop/baseline/None/
default	E665:E670	cell	dangling-anchor-dropped	qsMay.ex-ext-1|qsIt.en-y5.ex-y0	qsMay/loop/None/x-height/ex-ext-1|qsIt/bar/x-height/None/
default	E665:E679	cell	dangling-anchor-dropped	qsMay|qsOy.en-y5.ex-y0	qsMay/loop/None/x-height/|qsOy/loop/x-height/None/
default	E670:E665	cell	dangling-anchor-dropped	qsIt.ex-y0|qsMay.en-y0.ex-y5.en-ext-1	qsIt/bar/None/baseline/|qsMay/loop/baseline/None/en-ext-1
default	E670:E670	cell	dangling-anchor-dropped	qsIt.ex-y5|qsIt	qsIt/bar/None/None/|qsIt/bar/None/None/
default	E679:E652	cell	bare-name-live-join	qsOy|qsTea.en-y0	qsOy/loop/None/baseline/|qsTea/full/baseline/None/
default	E679:E665	cell	dangling-anchor-dropped	qsOy|qsMay.en-y0.ex-y5	qsOy/loop/None/baseline/|qsMay/loop/baseline/None/
default	E679:E670	cell	dangling-anchor-dropped	qsOy|qsIt.en-y0.ex-y5	qsOy/loop/None/baseline/|qsIt/bar/baseline/None/
default	0020:E650:E650	cell	dangling-anchor-dropped	space|qsPea.half.en-y6.ex-y6|qsPea.en-y6	space/boundary/None/None/|qsPea/half/None/y6/|qsPea/full/y6/None/
default	0020:E650:E665	cell	dangling-anchor-dropped	space|qsPea|qsMay.en-y0.ex-y5.en-ext-1	space/boundary/None/None/|qsPea/full/None/baseline/|qsMay/loop/baseline/None/en-ext-1
default	0020:E650:E670	cell	dangling-anchor-dropped	space|qsPea.half.ex-y5.ex-dips|qsIt.en-y5.ex-y0	space/boundary/None/None/|qsPea/half/None/x-height/|qsIt/bar/x-height/None/
default	0020:E652:E665	cell	dangling-anchor-dropped	space|qsTea.ex-y0|qsMay.en-y0.ex-y5.en-ext-1	space/boundary/None/None/|qsTea/full/None/baseline/|qsMay/loop/baseline/None/en-ext-1
default	0020:E652:E670	cell	dangling-anchor-dropped	space|qsTea.half.ex-y5|qsIt.en-y5.ex-y0	space/boundary/None/None/|qsTea/half/None/x-height/|qsIt/bar/x-height/None/
default	0020:E665:E650	cell	dangling-anchor-dropped	space|qsMay|qsPea.en-y5.ex-y0	space/boundary/None/None/|qsMay/loop/None/x-height/|qsPea/full/x-height/None/
default	0020:E665:E652	cell	may-exit-withdrawal-generalized	space|qsMay|qsTea	space/boundary/None/None/|qsMay/loop/None/None/ex-bind-pulled-back|qsTea/full/None/None/
default	0020:E665:E665	cell	dangling-anchor-dropped	space|qsMay.ex-y0|qsMay.en-y0.ex-y5	space/boundary/None/None/|qsMay/grounded-loop/None/baseline/|qsMay/loop/baseline/None/
default	0020:E665:E670	cell	dangling-anchor-dropped	space|qsMay.ex-ext-1|qsIt.en-y5.ex-y0	space/boundary/None/None/|qsMay/loop/None/x-height/ex-ext-1|qsIt/bar/x-height/None/
default	0020:E665:E679	cell	dangling-anchor-dropped	space|qsMay|qsOy.en-y5.ex-y0	space/boundary/None/None/|qsMay/loop/None/x-height/|qsOy/loop/x-height/None/
default	0020:E670:E665	cell	dangling-anchor-dropped	space|qsIt.ex-y0|qsMay.en-y0.ex-y5.en-ext-1	space/boundary/None/None/|qsIt/bar/None/baseline/|qsMay/loop/baseline/None/en-ext-1
default	0020:E670:E670	cell	dangling-anchor-dropped	space|qsIt.ex-y5|qsIt	space/boundary/None/None/|qsIt/bar/None/None/|qsIt/bar/None/None/
default	0020:E679:E652	cell	bare-name-live-join	space|qsOy|qsTea.en-y0	space/boundary/None/None/|qsOy/loop/None/baseline/|qsTea/full/baseline/None/
default	0020:E679:E665	cell	dangling-anchor-dropped	space|qsOy|qsMay.en-y0.ex-y5	space/boundary/None/None/|qsOy/loop/None/baseline/|qsMay/loop/baseline/None/
