config	codepoints	kinds	matched_entry	baseline	new
ss03	200C:E652:E679	ligation	fixture-intended	space|qsTea_qsOy	zwnj/boundary/None/None/|qsTea_qsOy/hapax/None/None/
ss02+ss03	200C:E652:E679	ligation	fixture-intended	space|qsTea_qsOy	zwnj/boundary/None/None/|qsTea_qsOy/hapax/None/None/
ss02+ss03+ss05	200C:E652:E679	ligation	fixture-intended	space|qsTea_qsOy	zwnj/boundary/None/None/|qsTea_qsOy/hapax/None/None/
default	E670:E670	cell	fixture-intended	qsIt.ex-y5|qsIt	qsIt/hapax/None/None/|qsIt/hapax/None/None/
ss02	E670:E670	cell	fixture-intended	qsIt.ex-y5|qsIt	qsIt/hapax/None/None/|qsIt/hapax/None/None/
ss03	E670:E670	cell	fixture-intended	qsIt.ex-y5|qsIt	qsIt/hapax/None/None/|qsIt/hapax/None/None/
ss04	E670:E670	cell	fixture-intended	qsIt.ex-y5|qsIt	qsIt/hapax/None/None/|qsIt/hapax/None/None/
ss05	E670:E670	cell	fixture-intended	qsIt.ex-y5|qsIt	qsIt/hapax/None/None/|qsIt/hapax/None/None/
ss02+ss03	E670:E670	cell	fixture-intended	qsIt.ex-y5|qsIt	qsIt/hapax/None/None/|qsIt/hapax/None/None/
ss02+ss03+ss05	E670:E670	cell	fixture-intended	qsIt.ex-y5|qsIt	qsIt/hapax/None/None/|qsIt/hapax/None/None/
default	E652:E670	cell	fixture-intended	qsTea.half.ex-y5|qsIt.en-y5.ex-y0	qsTea/half/None/x-height/|qsIt/hapax/x-height/None/en-ext-1
ss02	E652:E670	cell	fixture-intended	qsTea.half.ex-y5|qsIt.en-y5.ex-y0	qsTea/half/None/x-height/|qsIt/hapax/x-height/None/en-ext-1
ss03	E652:E670	cell	fixture-intended	qsTea.half.ex-y5|qsIt.en-y5.ex-y0	qsTea/half/None/x-height/|qsIt/hapax/x-height/None/en-ext-1
ss04	E652:E670	cell	fixture-intended	qsTea.half.ex-y5|qsIt.en-y5.ex-y0	qsTea/half/None/x-height/|qsIt/hapax/x-height/None/en-ext-1
ss05	E652:E670	cell	fixture-intended	qsTea.half.ex-y5|qsIt.en-y5.ex-y0	qsTea/half/None/x-height/|qsIt/hapax/x-height/None/en-ext-1
ss02+ss03	E652:E670	cell	fixture-intended	qsTea.half.ex-y5|qsIt.en-y5.ex-y0	qsTea/half/None/x-height/|qsIt/hapax/x-height/None/en-ext-1
ss02+ss03+ss05	E652:E670	cell	fixture-intended	qsTea.half.ex-y5|qsIt.en-y5.ex-y0	qsTea/half/None/x-height/|qsIt/hapax/x-height/None/en-ext-1
ss02	E650:E665	cell,seam	fixture-intended	qsPea|qsMay.en-y0.ex-y5.en-ext-1	qsPea/full/None/baseline/|qsMay/loop/baseline/None/en-ext-1
ss02+ss03	E650:E665	cell,seam	fixture-intended	qsPea|qsMay.en-y0.ex-y5.en-ext-1	qsPea/full/None/baseline/|qsMay/loop/baseline/None/en-ext-1
ss02+ss03+ss05	E650:E665	cell,seam	fixture-intended	qsPea|qsMay.en-y0.ex-y5.en-ext-1	qsPea/full/None/baseline/|qsMay/loop/baseline/None/en-ext-1
default	00B7:E679:E652	cell	fixture-drift	periodcentered.lowered|qsOy|qsTea.en-y0	namer-dot/boundary/None/None/|qsOy/hapax/None/baseline/|qsTea/full/baseline/None/
ss04	00B7:E679:E652	cell	fixture-drift	periodcentered.lowered|qsOy|qsTea.en-y0	namer-dot/boundary/None/None/|qsOy/hapax/None/baseline/|qsTea/full/baseline/None/
ss05	00B7:E679:E652	cell	fixture-drift	periodcentered.lowered|qsOy|qsTea.en-y0	namer-dot/boundary/None/None/|qsOy/hapax/None/baseline/|qsTea/full/baseline/None/
ss03	E652:E679	ligation	fixture-drift	qsTea|qsOy	qsTea_qsOy/hapax/None/None/
ss02+ss03	E652:E679	ligation	fixture-drift	qsTea|qsOy	qsTea_qsOy/hapax/None/None/
ss02+ss03+ss05	E652:E679	ligation	fixture-drift	qsTea|qsOy	qsTea_qsOy/hapax/None/None/
ss10	E652:E679	ligation	fixture-drift	qsTea|qsOy	qsTea_qsOy/hapax/None/None/
