config	codepoints	kinds	matched_entry	baseline	new
default	E650:E650	cell	dangling-anchor-dropped	qsPea.half.en-y6.ex-y6|qsPea.en-y6	qsPea/half/None/y6/|qsPea/full/y6/None/
default	E650:E653	cell	dangling-anchor-dropped	qsPea|qsDay.half.en-y0.ex-y0	qsPea/full/None/baseline/|qsDay/half/baseline/None/
default	E652:E653	cell	dangling-anchor-dropped	qsTea.ex-y0|qsDay.half.en-y0.ex-y0.en-ext-1	qsTea/full/None/baseline/|qsDay/half/baseline/None/en-ext-1
default	E652:E670	cell	dangling-anchor-dropped	qsTea.half.ex-y5|qsIt.en-y5.ex-y0	qsTea/half/None/x-height/|qsIt/hapax/x-height/None/
default	E653:E652	cell	bare-name-live-join	qsDay|qsTea.en-y0	qsDay/full/None/baseline/|qsTea/full/baseline/None/
default	E653:E653	cell	dangling-anchor-dropped	qsDay|qsDay.half.en-y0.ex-y0	qsDay/full/None/baseline/|qsDay/half/baseline/None/
default	E653:E668	cell	bare-name-live-join	qsDay|qsRoe	qsDay/full/None/baseline/|qsRoe/hapax/baseline/None/
default	E658:E666	cell	bare-name-live-join	qsFee.ex-y5.before-utter.ex-ext-1|qsNo	qsFee/loop/None/x-height/ex-ext-1|qsNo/loop/x-height/None/
default	E668:E668	cell	dangling-anchor-dropped	qsRoe.en-y0.ex-y5|qsRoe	qsRoe/hapax/None/x-height/|qsRoe/hapax/x-height/None/
default	E670:E670	cell	dangling-anchor-dropped	qsIt.ex-y5|qsIt	qsIt/hapax/None/None/|qsIt/hapax/None/None/
default	0020:E650:E650	cell	boundary-echo	space|qsPea.half.en-y6.ex-y6|qsPea.en-y6	space/boundary/None/None/|qsPea/half/None/y6/|qsPea/full/y6/None/
default	0020:E650:E653	cell	boundary-echo	space|qsPea|qsDay.half.en-y0.ex-y0	space/boundary/None/None/|qsPea/full/None/baseline/|qsDay/half/baseline/None/
default	0020:E652:E653	cell	boundary-echo	space|qsTea.ex-y0|qsDay.half.en-y0.ex-y0.en-ext-1	space/boundary/None/None/|qsTea/full/None/baseline/|qsDay/half/baseline/None/en-ext-1
default	0020:E653:E652	cell	boundary-echo	space|qsDay|qsTea.en-y0	space/boundary/None/None/|qsDay/full/None/baseline/|qsTea/full/baseline/None/
default	0020:E653:E653	cell	boundary-echo	space|qsDay|qsDay.half.en-y0.ex-y0	space/boundary/None/None/|qsDay/full/None/baseline/|qsDay/half/baseline/None/
default	0020:E653:E668	cell	boundary-echo	space|qsDay|qsRoe	space/boundary/None/None/|qsDay/full/None/baseline/|qsRoe/hapax/baseline/None/
default	0020:E668:E668	cell	boundary-echo	space|qsRoe.en-y0.ex-y5|qsRoe	space/boundary/None/None/|qsRoe/hapax/None/x-height/|qsRoe/hapax/x-height/None/
default	00B7:E650:E650	cell	dangling-anchor-dropped	periodcentered|qsPea.half.en-y6.ex-y6|qsPea.en-y6	namer-dot/boundary/None/None/|qsPea/half/None/y6/|qsPea/full/y6/None/
default	00B7:E650:E653	cell	dangling-anchor-dropped	periodcentered|qsPea|qsDay.half.en-y0.ex-y0	namer-dot/boundary/None/None/|qsPea/full/None/baseline/|qsDay/half/baseline/None/
default	00B7:E652:E653	cell	dangling-anchor-dropped	periodcentered|qsTea.ex-y0|qsDay.half.en-y0.ex-y0.en-ext-1	namer-dot/boundary/None/None/|qsTea/full/None/baseline/|qsDay/half/baseline/None/en-ext-1
