# Benign isolation-leak census at depth 4. Generated by `make leak-snapshot`; do not hand-edit.
# The welcome faux-organic variation (subtractive trims, standalone-variant swaps, cosmetic tucks). Any change is surfaced for review.
# Each line: <example sequence> [break N] :: <glyph diff>. See doc/definitions/shaping-leakage.md.
# count: 247

At They Utter Jai [break 0] ::  L qsAt->qsAt | *R qsThey_qsUtter->qsThey_qsUtter.noentry.ex-con-1
See At See Utter [break 1] :: *L qsAt.en-ext-1->qsAt |  R qsSee_qsUtter->qsSee_qsUtter
Awe He No Ah [break 0] ::  L qsAwe->qsAwe | *R qsHe.half.ex-y5->qsHe.ex-y0
Awe Tea No Ah [break 0] ::  L qsAwe->qsAwe | *R qsTea.half.ex-y5->qsTea.ex-y0
He Awe Tea Oy [break 1] :: *L qsAwe.en-ext-1->qsAwe |  R qsTea_qsOy->qsTea_qsOy
He Awe Thaw Ing [break 1] :: *L qsAwe.en-ext-1->qsAwe |  R qsThaw.ex-y0->qsThaw.ex-y0
Bay He No Ah [break 0] ::  L qsBay->qsBay | *R qsHe.half.ex-y5->qsHe.ex-y0
Bay Tea No Ah [break 0] ::  L qsBay->qsBay | *R qsTea.half.ex-y5->qsTea.ex-y0
Cheer He No Ah [break 0] ::  L qsCheer->qsCheer | *R qsHe.half.ex-y5->qsHe.ex-y0
Cheer Tea No Ah [break 0] ::  L qsCheer->qsCheer | *R qsTea.half.ex-y5->qsTea.ex-y0
Way Cheer Tea Oy [break 1] :: *L qsCheer.noentry->qsCheer |  R qsTea_qsOy->qsTea_qsOy
Way Cheer Thaw Ing [break 1] :: *L qsCheer.noentry->qsCheer |  R qsThaw.ex-y0->qsThaw.ex-y0
Day He No Ah [break 0] ::  L qsDay->qsDay | *R qsHe.half.ex-y5->qsHe.ex-y0
Day Tea No Ah [break 0] ::  L qsDay->qsDay | *R qsTea.half.ex-y5->qsTea.ex-y0
Ah Day Eat [break 1] :: *L qsDay->qsDay_qsEat | *R qsEat->qsDay_qsEat
Day Eat I [break 0] :: *L qsDay->qsDay_qsEat | *R qsEat.ex-ext-1->qsDay_qsEat
Awe Day Eat [break 1] :: *L qsDay.half.en-y0.ex-y0->qsDay_qsEat | *R qsEat->qsDay_qsEat
Awe Day Eat I [break 1] :: *L qsDay.half.en-y0.ex-y0->qsDay_qsEat | *R qsEat.ex-ext-1->qsDay_qsEat
It Day Eat [break 1] :: *L qsDay.half.en-y0.ex-y0->qsDay_qsEat.noentry | *R qsEat->qsDay_qsEat.noentry
It Day Eat I [break 1] :: *L qsDay.half.en-y0.ex-y0->qsDay_qsEat.noentry | *R qsEat.ex-ext-1->qsDay_qsEat.noentry
Tea Day Tea Oy [break 1] :: *L qsDay.half.en-y0.ex-y0.en-ext-1->qsDay |  R qsTea_qsOy->qsTea_qsOy
Tea Day Thaw Ing [break 1] :: *L qsDay.half.en-y0.ex-y0.en-ext-1->qsDay |  R qsThaw.ex-y0->qsThaw.ex-y0
Tea Day Eat [break 1] :: *L qsDay.half.en-y0.ex-y0.en-ext-1->qsDay_qsEat | *R qsEat->qsDay_qsEat
Tea Day Eat I [break 1] :: *L qsDay.half.en-y0.ex-y0.en-ext-1->qsDay_qsEat | *R qsEat.ex-ext-1->qsDay_qsEat
Day Eat It No [break 1] ::  L qsDay_qsEat->qsDay_qsEat | *R qsIt.ex-y0->qsIt.ex-y5
Eight He No Ah [break 0] ::  L qsEight->qsEight | *R qsHe.half.ex-y5->qsHe.ex-y0
Eight Tea No Ah [break 0] ::  L qsEight->qsEight | *R qsTea.half.ex-y5->qsTea.ex-y0
He Eight He Ah [break 1] :: *L qsEight.en-ext-1->qsEight |  R qsHe.ex-y0->qsHe.ex-y0
He Eight He Exam [break 1] :: *L qsEight.en-ext-1->qsEight |  R qsHe.ex-y0.ex-ext-1->qsHe.ex-y0.ex-ext-1
He Eight He Awe [break 1] :: *L qsEight.en-ext-1->qsEight |  R qsHe.half.ex-y5->qsHe.half.ex-y5
He Eight He Zoo [break 1] :: *L qsEight.en-ext-1->qsEight |  R qsHe.half.ex-y5.ex-con-1->qsHe.half.ex-y5.ex-con-1
He Eight It Ah [break 1] :: *L qsEight.en-ext-1->qsEight |  R qsIt.ex-y0->qsIt.ex-y0
He Eight It Day [break 1] :: *L qsEight.en-ext-1->qsEight |  R qsIt.ex-y0.before-day.after-no-baseline-join->qsIt.ex-y0.before-day.after-no-baseline-join
He Eight It Utter [break 1] :: *L qsEight.en-ext-1->qsEight |  R qsIt.ex-y0.before-utter->qsIt.ex-y0.before-utter
He Eight It I [break 1] :: *L qsEight.en-ext-1->qsEight |  R qsIt.ex-y0.ex-ext-1->qsIt.ex-y0.ex-ext-1
